Distribución,Creador,Productor,Primer lanzamiento (Año-mes-día),Distribución base,Última versión,Propósito
64_Studio,Daniel James and Free Ekanayaka,64 Studio Ltd.,2005-05-09,Debian,2008-07-9,multimedia
Alinex,Alinex Team and University of Évora,Alinex Team and University of Évora,2005-12-06,Ubuntu,2008-03-07,Propósito general
aLinux,Jay Klepacs,Jay Klepacs, ? pre-1999-08-19 (1.1),Red Hat Linux,2011-01-18,escritorio
ALT_Linux,ALT Linux Team,ALT Linux Team,2001-03-21,no,2007-12-27,escritorio and workstation and servidor
Annvix,Vincent Danen,Vincent Danen,2003-11-?,Mandrake Linux,,servidor
Arch_Linux,Judd Vinet,dev team,2002-03-11,no,2013-06-1,Propósito general
Ark_Linux,Bernhard Rosenkraenzer,dev team,2003-01-25,no,2008-05-14,escritorio
Arudius,Haidut,dev team,2005-11-04,no,2006-02-06,information assurance and security
Asianux,Red Flag Linux and Miracle Linux and Haansoft Linux,dev team,2004-06-?,RHEL,2007-09-22,workstation and servidor
Asturix,Luis Iván Cuende,dev team,2009-04-25,Ubuntu,2010-01-22,escritorio
Aurox,Software-Wydawnictwo Sp. z oo,Aurox Sp. z oo,2002-09-?,Fedora,2012-05-19,Propósito general
Beakos_GNU/Linux,Jesús Arriola Villarreal and Francisco Sosa Romero,Fondo de Información y Documentación para la Industria Infotec,2009-09-?,no,2011-04-07,Propósito general
BLAG,Brixton Linux Action Group,Brixton Linux Action Group,2002-10-22,Fedora,2007-11-11,escritorio
Caixa_Mágica,Daniel Neves and José Guimarães and Paulo Trezentos,Caixa Mágica Software,2000-10-28,Mandriva Linux,2008-02-20,escritorio and servidor
CentOS,CentOS Project,CentOS Project,2003-12-?,RHEL,2007-12-02,servidor
CRUX,Per Liden,CRUX Linux community,2001-01-20,no,2008-12-18,Propósito general
Damn_Small_Linux,John Andrews,dev team,2003-?-?,Knoppix,2008-04-22,Propósito general
Debian,Ian Murdock,Debian Project,1993-08-16,no,2015-04-25,Propósito general
escritorio_Light_Linux,Henry Jensen,Henry Jensen,2002-10-?,no,2008-05-28,escritorio
DeMuDi,AGNULA,AGNULA,2002-04-?,Debian,2005-11-03,audio and video
