Calendar Date,TD of Greatest Eclipse,Eclipse Type,Eclipse Magnitude,Central Duration
2014 Apr 29,06:04:32,Annular,0.987,-
2008 Feb 07,03:56:10,Annular,0.965,02m12s
2013 May 10,00:26:20,Annular,0.9540000000000001,06m03s
2015 Mar 20,09:46:47,Total,1.045,02m47s
2019 Dec 26,05:18:53,Annular,0.97,03m39s
1975 May 11,07:17:33,Partial,0.8640000000000001,-
1986 Oct 03,19:06:15,Hybrid,1.0,00m00s
1981 Jul 31,03:46:36,Total,1.026,02m02s
2006 Mar 29,10:12:22,Total,1.052,04m07s
1980 Aug 10,19:12:21,Annular,0.973,03m23s
2017 Aug 21,18:26:40,Total,1.031,02m40s
1992 Dec 24,00:31:41,Partial,0.8420000000000001,-
2006 Sep 22,11:41:16,Annular,0.935,07m09s
2001 Jun 21,12:03:46,Total,1.05,04m57s
1995 Oct 24,04:33:30,Total,1.021,02m10s
2012 May 20,23:53:53,Annular,0.9440000000000001,05m46s
1971 Jul 22,09:31:55,Partial,0.069,-
2014 Apr 29,06:04:32,Annular,0.987,-
1986 Apr 09,06:21:22,Partial,0.8240000000000001,-
2000 Jul 01,19:33:33,Partial,0.47700000000000004,-
2013 Nov 03,12:47:36,Hybrid,1.016,01m40s
1991 Jan 15,23:53:51,Annular,0.929,07m53s
2000 Jul 31,02:14:07,Partial,0.603,-
2011 Jun 01,21:17:18,Partial,0.601,-
2003 May 31,04:09:23,Annular,0.938,03m37s
1998 Aug 22,02:07:10,Annular,0.973,03m14s
1988 Mar 18,01:58:56,Total,1.046,03m46s
2020 Jun 21,06:41:15,Annular,0.9940000000000001,00m38s
2007 Sep 11,12:32:24,Partial,0.7509999999999999,-
1992 Jan 04,23:05:37,Annular,0.9179999999999999,11m41s
1990 Jan 26,19:31:24,Annular,0.9670000000000001,02m03s
1987 Sep 23,03:12:21,Annular,0.963,03m49s
2003 Nov 23,22:50:22,Total,1.038,01m57s
2008 Aug 01,10:22:12,Total,1.0390000000000001,02m27s
2010 Jul 11,19:34:38,Total,1.058,05m20s
2008 Feb 07,03:56:10,Annular,0.965,02m12s
2001 Dec 14,20:53:01,Annular,0.968,03m53s
2000 Dec 25,17:35:57,Partial,0.723,-
2010 Jan 15,07:07:39,Annular,0.919,11m08s
1999 Aug 11,11:04:09,Total,1.0290000000000001,02m23s
2001 Dec 14,20:53:01,Annular,0.968,03m53s
1987 Sep 23,03:12:21,Annular,0.963,03m49s
1988 Sep 11,04:44:29,Annular,0.938,06m57s
1971 Aug 20,22:39:31,Partial,0.508,-
1985 Nov 12,14:11:27,Total,1.0390000000000001,01m59s
2002 Dec 04,07:32:15,Total,1.024,02m04s
2013 May 10,00:26:20,Annular,0.9540000000000001,06m03s
1997 Mar 09,01:24:50,Total,1.042,02m50s
2016 Mar 09,01:58:19,Total,1.045,04m09s
2016 Sep 01,09:08:02,Annular,0.9740000000000001,03m06s
2005 Oct 03,10:32:47,Annular,0.958,04m32s
1974 Dec 13,16:13:13,Partial,0.8270000000000001,-
1979 Feb 26,16:55:06,Total,1.0390000000000001,02m49s
2005 Apr 08,20:36:50,Hybrid,1.0070000000000001,00m42s
2016 Sep 01,09:08:02,Annular,0.9740000000000001,03m06s
2014 Oct 23,21:45:39,Partial,0.8109999999999999,-
1997 Sep 02,00:04:49,Partial,0.899,-
1981 Feb 04,22:09:24,Annular,0.9940000000000001,00m33s
1996 Oct 12,14:03:04,Partial,0.757,-
1981 Jul 31,03:46:36,Total,1.026,02m02s
1991 Jan 15,23:53:51,Annular,0.929,07m53s
2016 Mar 09,01:58:19,Total,1.045,04m09s
2018 Aug 11,09:47:28,Partial,0.737,-
2009 Jul 22,02:36:25,Total,1.08,06m39s
1998 Feb 26,17:29:27,Total,1.044,04m09s
1973 Jun 30,11:38:40,Total,1.079,07m04s
2015 Mar 20,09:46:47,Total,1.045,02m47s
1995 Apr 29,17:33:20,Annular,0.95,06m37s
1993 May 21,14:20:14,Partial,0.735,-
2005 Oct 03,10:32:47,Annular,0.958,04m32s
2007 Mar 19,02:32:57,Partial,0.8759999999999999,-
2002 Dec 04,07:32:15,Total,1.024,02m04s
1981 Feb 04,22:09:24,Annular,0.9940000000000001,00m33s
1995 Oct 24,04:33:30,Total,1.021,02m10s
2005 Apr 08,20:36:50,Hybrid,1.0070000000000001,00m42s
