Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2020-01-19 00:00:01,O,928,29848,731,59,661,2,0,265,65535,65535,65535,73,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,36795
2020-01-19 00:01:00,O,929,29846,731,59,661,1,0,265,65535,65535,65535,73,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,56694
2020-01-19 00:02:00,O,930,29845,730,59,660,0,1,265,65535,65535,65535,74,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,9362
2020-01-19 00:03:01,O,931,29845,729,59,660,0,1,265,65535,65535,65535,74,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,40011
2020-01-19 00:04:00,O,932,29848,729,59,660,0,0,265,65535,65535,65535,74,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,30225
2020-01-19 00:05:00,O,933,29845,728,59,659,2,0,265,65535,65535,65535,74,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,1613
2020-01-19 00:06:00,O,934,29846,728,59,659,3,1,263,65535,65535,65535,74,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,9052
2020-01-19 00:07:00,O,935,29850,728,59,659,1,1,263,65535,65535,65535,74,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,34180
2020-01-19 00:08:00,O,936,29851,727,59,659,0,1,263,65535,65535,65535,74,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,44070
2020-01-19 00:09:00,O,937,29854,726,59,659,0,1,263,65535,65535,65535,74,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,27976
2020-01-19 00:10:01,O,938,29855,726,59,659,0,1,263,65535,65535,65535,74,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,58060
2020-01-19 00:11:00,O,939,29854,726,59,658,0,1,263,65535,65535,65535,74,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,28699
2020-01-19 00:12:00,O,940,29855,725,59,658,1,0,263,65535,65535,65535,74,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,41571
2020-01-19 00:13:01,O,941,29860,724,59,657,0,1,263,65535,65535,65535,74,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,6020
2020-01-19 00:14:00,O,942,29858,724,59,657,0,1,263,65535,65535,65535,74,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,14056
2020-01-19 00:15:00,O,943,29858,723,59,656,0,1,263,65535,65535,65535,74,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,7269
2020-01-19 00:16:00,O,944,29858,723,59,656,0,0,263,65535,65535,65535,75,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,65430
2020-01-19 00:17:01,O,945,29859,722,59,656,0,0,263,65535,65535,65535,75,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,3358
2020-01-19 00:18:00,O,946,29857,722,59,655,0,0,263,65535,65535,65535,75,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,47631
2020-01-19 00:19:00,O,947,29859,721,59,655,0,0,263,65535,65535,65535,75,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,2861
2020-01-19 00:20:01,O,948,29862,721,59,655,2,0,263,65535,65535,65535,75,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,18494
2020-01-19 00:21:00,O,949,29860,720,59,654,0,0,263,65535,65535,65535,75,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,62328
2020-01-19 00:22:00,O,950,29859,720,59,653,0,0,263,65535,65535,65535,75,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,22518
2020-01-19 00:23:00,O,951,29859,719,59,654,0,0,263,65535,65535,65535,75,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,3236
2020-01-19 00:24:00,O,952,29858,719,59,653,0,0,263,65535,65535,65535,75,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,57315
2020-01-19 00:25:00,O,953,29859,718,59,653,0,0,263,65535,65535,65535,75,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,11627
2020-01-19 00:26:00,O,954,29858,718,59,652,0,0,263,65535,65535,65535,76,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,20953
2020-01-19 00:27:01,O,955,29858,717,59,652,0,0,263,65535,65535,65535,76,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,59648
2020-01-19 00:28:00,O,956,29859,717,59,651,0,0,263,65535,65535,65535,76,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,28443
2020-01-19 00:29:00,O,957,29859,717,59,651,0,0,263,65535,65535,65535,76,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,26164
2020-01-19 00:30:00,O,958,29858,717,59,651,0,0,263,65535,65535,65535,76,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,59824
2020-01-19 00:31:00,O,959,29860,715,59,650,0,0,263,65535,65535,65535,76,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,38514
2020-01-19 00:32:00,O,960,29860,715,59,649,0,0,263,65535,65535,65535,76,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,44498
2020-01-19 00:33:00,O,961,29859,715,59,648,0,0,263,65535,65535,65535,76,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,1304
2020-01-19 00:34:01,O,962,29860,714,59,647,0,0,263,65535,65535,65535,77,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,55366
2020-01-19 00:35:00,O,963,29859,713,59,647,0,0,263,65535,65535,65535,76,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,40105
2020-01-19 00:36:00,O,964,29863,713,59,646,0,0,263,65535,65535,65535,77,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,52561
2020-01-19 00:37:01,O,965,29863,713,59,645,0,0,263,65535,65535,65535,77,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,54633
